locus,samp_sizetot,SynSitestot,theta_syntot,S_Syntot,S_Syn_freq.,D_Syntot,pi_Syntot,pi_JC_Syntot,Dxy_Syntot,Dxy_JC_Syntot,SynSites_4.foldtot,D_4.foldtot,D_JC_4.foldtot,TajD_Syntot,Fu.LiD_Syntot,X,RepSitestot,theta_reptot,S_Reptot,S_Rep_freq.,D_Reptot,pi_Reptot,pi_JC_Reptot,Dxy_Reptot,Dxy_JC_Reptot,TajD_Reptot,weighted_theta,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY,D_mlhka
Locus_3130_,6,414.3571429,0.014797348,14,6.13138684,2,0.01785899,0.018075056,0.018904787,0.019147128,281.3809524,0.007107802,0.007141697,1.270503068,#N/A,#N/A,1331.642857,0.000328884,1,0.437956029,2,0.000250317,0.000250359,0.001627063,0.00162883,-0.933020529,6.13138684,0,0.00693,0.0022,0.00218,0.17969,#N/A,0.0044,0.0001,0.0001,0.0001,0.708,0.0346,#N/A,0.5279,NO,YES,74.45583501
Locus_3170_,6,1036.809524,0.006758521,16,7.007298941,18,0.005915584,0.005939036,0.02154044,0.02185582,732,0.017759563,0.01797321,-0.771336984,#N/A,#N/A,3394.190476,0.00232256,18,7.883211032,38,0.002121272,0.002124277,0.012472292,0.012577161,-0.53900224,7.007298941,0.00572,0.00261,0.00585,0.00181,0.31194,0.00611,0.01298,0.3171,0.3445,0.3635,1.9357,0.3537,0.7498,0.3732,YES,YES,323.4223629
Locus_3171_,6,887.5238095,0.000986917,2,0.875912336,3,0.0009765,0.000977136,0.004319133,0.004331618,510.6666667,0.003916449,0.003926711,-0.050017378,#N/A,#N/A,3309.47619,0.000132334,1,0.437956222,4,0.000100721,0.000100728,0.001259011,0.001260069,-0.933020529,0.875912336,0.00636,0.01603,0.00959,0,0.53992,#N/A,0.00636,0.0001,0.0001,0.1733,999,0.31,#N/A,0.2615,NO,YES,479.1918552
Locus_3231_,6,331.4285714,0.003964259,3,1.313868697,1,0.003017241,0.003023327,0.004525862,0.004539573,197.5238095,0,0,-1.233111763,#N/A,#N/A,1189.571429,0.000368163,1,0.437956186,1,0.000504383,0.000504553,0.001260958,0.00126202,1.445096912,1.313868697,0.00001,0.00733,0,0.01103,0.21722,0.00173,0.00296,0.0001,0.0796,999,0.2656,0.2539,0.0001,0.6801,YES,YES,71.99291428
Locus_3286_,6,987.9761905,0.002659717,6,2.627737069,19,0.002834076,0.002839445,0.021255573,0.021562587,602.2857143,0.013282732,0.013401761,0.375219196,#N/A,#N/A,3557.02381,0.001477492,12,5.255474223,22,0.001611834,0.001613569,0.007496904,0.007534625,0.553138182,2.627737069,0.0041,0.00413,0,0.00546,0.19407,0.00633,0.01034,0.4582,0.36,999,0.4273,0.4789,0.3085,0.672,YES,YES,191.7365393
Locus_329_,6,324.7857143,0.005393787,4,1.751824964,4,0.004105271,0.004116548,0.014368448,0.014507866,247.6190476,0.012115385,0.012214306,-1.295030853,#N/A,#N/A,953.2142857,0.00229726,5,2.18978105,8,0.002168103,0.002171243,0.00996628,0.01003309,-0.314656963,1.751824964,0.00261,0.00782,0,0.00789,0.19865,0.0018,0.00843,0.8529,0.3662,999,0.3627,0.2032,0.0001,0.9795,YES,YES,64.51868215
Locus_3428_,6,685.8095238,0.001277195,2,0.875912495,5,0.000972087,0.000972718,0.007776698,0.007817297,448.5714286,0.004458599,0.004471904,-1.131972245,#N/A,#N/A,2251.190476,0.000583633,3,1.313869051,7,0.000533051,0.000533241,0.003405605,0.003413361,-0.447361477,0.875912495,0.0013,0,0,0.00131,0.15622,0.00374,0.00411,0.0001,999,999,3.1043,0.2977,0.4933,0.4381,YES,YES,107.1371638
Locus_3638_,6,637.6904762,0.007554634,11,4.817518153,12,0.008154426,0.00819908,0.025090543,0.025519834,420,0.019047619,0.019293668,0.48016335,#N/A,#N/A,2107.309524,0.003533062,17,7.445255201,19,0.003574858,0.003583405,0.011626199,0.011717254,0.073379516,4.817518153,0,0.00759,0.00001,0.01372,0.19574,0.00642,0.01183,999,0.484,999,0.399,0.2058,0.2028,0.422,YES,YES,124.8215338
Locus_3648_,6,133.0952381,0.006581095,2,0.875912406,0,0.006511628,0.00654006,0.003756708,0.003766149,95.04761905,0,0,-0.050017378,#N/A,#N/A,430.9047619,0.001016364,1,0.437956087,2,0.000773566,0.000773965,0.00502818,0.005045111,-0.933020529,0.875912406,0.00001,0.00001,0,0.00001,0.45969,#N/A,#N/A,0.0001,0.0001,7.4948,0.0001,0.437,#N/A,#N/A,NO,NO,61.18255
Locus_3699_,6,320.1666667,0,0,0,4,0,0,0.012493493,0.012598721,201.3333333,0.01986755,0.020135438,#N/A,#N/A,#N/A,1086.833333,0.001208896,3,1.313868469,4,0.001288146,0.001289253,0.004447171,0.004460408,0.338388809,0,0.00001,0,0.00612,0.00001,0.12481,#N/A,#N/A,999,999,0.2984,999,0.3064,#N/A,#N/A,NO,NO,39.96000167
Locus_3746_,6,97.83333333,0,0,0,2,0,0,0.02044293,0.020726708,58.33333333,0.017142857,0.017341813,#N/A,#N/A,#N/A,349.1666667,0.00125429,1,0.437956258,1,0.000954654,0.000955262,0.003341289,0.003348754,-0.933020529,0,0.01164,0.01169,0.00001,0.00001,0.58957,#N/A,#N/A,0.5342,0.8002,0.0001,0.0001,0.4583,#N/A,#N/A,NO,NO,57.67959833
Locus_376_,6,183.5952381,0.004770888,2,0.875912318,6,0.003631176,0.003639995,0.034496174,0.035314695,120.047619,0.033320111,0.034082943,-1.131972245,#N/A,#N/A,638.4047619,0.00205805,3,1.31386892,8,0.001879685,0.001882045,0.013575504,0.01369987,-0.447361477,0.875912318,0.00743,0,0.00746,0.00001,0.18875,0,0.02264,0.0001,999,0.0001,0.0001,0.1798,999,0.1802,YES,YES,34.65360119
Locus_3892_,6,223.0714286,0.0019633,1,0.437956136,3,0.00149429,0.00149578,0.014195752,0.014331818,143.5238095,0.020902455,0.021199258,-0.933020529,#N/A,#N/A,778.9285714,0.001686764,3,1.313868673,4,0.001283815,0.001284915,0.005777166,0.005799532,-1.233111763,0.437956136,0,0.00779,0.00388,0,0.11986,0,#N/A,10.0207,0.1484,0.0001,714.0604,0.4353,960.5159,#N/A,YES,NO,26.73734143
Locus_3896_,6,93.64285714,0.014030634,3,1.313868655,1,0.010678871,0.010755626,0.016018307,0.016191839,59.66666667,0.016759777,0.016949874,-1.233111763,#N/A,#N/A,323.3571429,0.002708808,2,0.875912416,2,0.002061704,0.002064543,0.007215963,0.007250901,-1.131972245,1.313868655,0.00001,0.01868,0,0.01874,0.24714,#N/A,0,0.0001,0.2492,35.4721,0.0001,0.1262,#N/A,999,NO,YES,23.14289571
Locus_3900_,6,85.5,0,0,0,3,0,0,0.035087719,0.035935017,62.33333333,0.016042781,0.016216848,#N/A,#N/A,#N/A,289.5,0,0,0,0,0,0,0,0,#N/A,0,0.01727,0.01148,0,0,0.30852,#N/A,#N/A,0.0001,0.1679,0.0001,999,0.3504,#N/A,#N/A,NO,NO,26.37846
Locus_3927_,6,560.5714286,0.004687605,6,2.627737432,6,0.004281346,0.004293612,0.013081889,0.013197324,342.8095238,0.008751215,0.008802672,-0.496052497,#N/A,#N/A,1959.428571,0.000670537,3,1.313869356,5,0.000714494,0.000714835,0.002977058,0.002982983,0.338388809,2.627737432,0.00167,0.00494,0.00165,0.00331,0.19845,0.00258,0.00907,0.9324,0.4234,0.9455,0.7938,0.1659,0.0001,0.1727,YES,YES,111.2454
Locus_4106_,6,715.2380952,0.004898578,8,3.503649598,8,0.005499334,0.005519595,0.015146471,0.015301506,465.6666667,0.008589835,0.008639404,0.722995907,#N/A,#N/A,2287.761905,0.000765737,4,1.751823938,3,0.000815936,0.00081638,0.001894137,0.001896532,0.35538056,3.503649598,0.00127,0.00127,0,0.00381,0.19629,0.00363,0.01301,0.0001,0.3457,999,0.461,0.0586,0.2401,0.1016,YES,YES,140.3940857
Locus_4117_,6,119.1666667,0.007350314,2,0.875912419,9,0.005594406,0.005615375,0.078321678,0.082720251,84.0952381,0.047565119,0.049140379,-1.131972245,#N/A,#N/A,369.8333333,0,0,0,4,0,0,0.010815683,0.010894427,#N/A,0.875912419,0,0,0.01544,0.01547,0.30334,#N/A,#N/A,2.0568,0.0001,0.1797,0.3609,0.1142,#N/A,#N/A,NO,NO,36.14801668
Locus_4208_,6,374.1666667,0.005852421,5,2.189780858,6,0.006057906,0.006082504,0.019599109,0.019859743,257.4761905,0.019419271,0.019675102,0.196505139,#N/A,#N/A,1209.833333,0.001447989,4,1.751825358,3,0.001432704,0.001434074,0.003306241,0.00331355,-0.057222293,2.189780858,0.00213,0.0085,0,0.00424,0.22128,0.0044,0.00625,0.6552,0.0821,999,0.3305,0.1896,0.0001,0.2242,YES,YES,82.79560001
Locus_4222_,6,79.71428571,0.005494074,1,0.437956185,4,0.004181601,0.004193302,0.052270012,0.054180761,53.47619048,0.037399822,0.038364528,-0.933020529,#N/A,#N/A,274.2857143,0,0,0,2,0,0,0.007291667,0.007327344,#N/A,0.437956185,0.00001,0.00001,0,0.00001,0.60241,0.00001,#N/A,0.0001,0.0001,999,0.0001,0.1112,0.0001,#N/A,YES,NO,48.02068285
Locus_4264_,6,94.9047619,0,0,0,3,0,0,0.031610637,0.032296122,59.66666667,0,0,#N/A,#N/A,#N/A,328.0952381,0.001334845,1,0.437956288,2,0.001015965,0.001016654,0.006603774,0.006633019,-0.933020529,0,0.02573,0.00001,0,0.02531,0.00002,#N/A,#N/A,0.0001,0.0001,999,0.1508,439.1445,#N/A,#N/A,NO,NO,0.001898095
Locus_4279_,6,597.3095238,0.002932859,4,1.751824613,1,0.003236736,0.003243741,0.003627377,0.003636177,376.2380952,0,0,0.561681986,#N/A,#N/A,2009.690476,0.001525456,7,3.065694395,5,0.001360077,0.001361311,0.003234329,0.003241323,-0.630950399,1.751824613,0,0.00001,0.00568,0.00568,0.12632,#N/A,#N/A,1.3866,0.0001,0.5176,0.5175,0.3257,#N/A,#N/A,NO,NO,75.45213905
Locus_4284_,6,105.2380952,0.00832315,2,0.875912452,2,0.006334842,0.006361747,0.022171946,0.022506282,73,0.01369863,0.013825276,-1.131972245,#N/A,#N/A,353.7619048,0.001237997,1,0.437956177,2,0.000942253,0.000942846,0.006124647,0.006149791,-0.933020529,0.875912452,0,0.00973,0,0.00942,0.23194,#N/A,0.00939,0.3958,0.0001,0.4653,0.2942,0.4972,#N/A,0.5903,NO,YES,24.4089238
Locus_4326_,6,263.2380952,0.006654906,4,1.751824779,0,0.00658466,0.006613735,0.005065123,0.005082304,184.6666667,0,0,-0.057222293,#N/A,#N/A,855.7619048,0,0,0,6,0,0,0.007011296,0.007044274,#N/A,1.751824779,0,0.00474,0.00001,0.00713,0.27104,0,0.00953,999,0.0001,0.0001,0.212,0.4132,999,0.5649,YES,YES,71.34805332
Locus_4539_,6,722.2380952,0.004244713,7,3.065693432,8,0.003599921,0.003608588,0.013153557,0.013270268,472.5238095,0.006348886,0.006375911,-0.884069593,#N/A,#N/A,2484.761905,0.001938825,11,4.8175185,12,0.001824454,0.001826677,0.005902645,0.005925995,-0.356762591,3.065693432,0,0.00207,0,0.00208,0.18919,0.00652,0.00182,999,0.6273,999,1.5714,0.3564,0.2674,1.5746,YES,YES,136.6402252
Locus_457_,6,135.4761905,0.006465434,2,0.875912368,1,0.004920914,0.004937128,0.009841828,0.009906973,91.28571429,0,0,-1.131972245,#N/A,#N/A,434.5238095,0,0,0,5,0,0,0.011506849,0.011596034,#N/A,0.875912368,0,0.00231,0,0.00698,0.4008,0.01398,0.00001,0.0001,0.0001,33.5963,0.1194,0.0515,0.0592,999,YES,YES,54.29885715
Locus_468_,6,1029.404762,0.00212723,5,2.189780692,1,0.002007633,0.002010325,0.002104776,0.002107735,611.6190476,0.001635005,0.001636789,-0.314656963,#N/A,#N/A,3824.595238,0.000458042,4,1.751825252,3,0.000348621,0.000348702,0.000958707,0.00095932,-1.295030853,2.189780692,0.00281,0.00663,0.00197,0.00197,0.18342,#N/A,#N/A,0.0889,0.2655,0.8994,1.1558,0.1487,#N/A,#N/A,NO,NO,188.8134214
Locus_4857_,6,363.5,0.006024157,5,2.18978107,3,0.007152682,0.007187008,0.013296653,0.013415932,259.952381,0.007693717,0.007733451,1.048441975,#N/A,#N/A,1151.5,0.002282012,6,2.627736818,3,0.00231582,0.002319403,0.004052685,0.004063674,0.084795299,2.18978107,0,0.00629,0.00314,0.00314,0.55915,0,0.00632,999,0.1732,0.3472,0.6957,0.48,15.0127,0.1723,YES,YES,203.251025
Locus_4955_,6,64.73809524,0.013530092,2,0.875912385,1,0.010297904,0.010369255,0.020595807,0.020883885,43.28571429,0,0,-1.131972245,#N/A,#N/A,205.2619048,0.002133646,1,0.437956242,2,0.001623942,0.001625702,0.013803503,0.013932108,-0.933020529,0.875912385,0.26023,0,74.0326,0.01967,0.50487,#N/A,#N/A,0.3977,30.0068,0.0143,0.2832,0.2919,#N/A,#N/A,NO,NO,32.68432214
Locus_5026_,6,96.11904762,0.004556394,1,0.437956252,0,0.003467922,0.003475964,0.001733961,0.001735968,55.19047619,0,0,-0.933020529,#N/A,#N/A,347.8809524,0.002517851,2,0.875912404,0,0.001916364,0.001918817,0.000958182,0.000958795,-1.131972245,0.437956252,0.00001,0.00001,0.00282,0.0028,0.22528,#N/A,#N/A,0.0001,0.0001,1.5352,0.0001,0.2953,#N/A,#N/A,NO,NO,21.65369905
Locus_5151_,6,159,0.005508883,2,0.875912397,1,0.004192872,0.004204636,0.008385744,0.008432977,118,0.008474576,0.008522819,-1.131972245,#N/A,#N/A,516,0.000848752,1,0.437956032,0,0.001033592,0.001034305,0.000645995,0.000646273,0.850567552,0.875912397,0.01506,0.00498,0.00501,0,0.2408,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.1826,#N/A,#N/A,NO,NO,38.2872
Locus_5166_,6,401.7380952,0.003270461,3,1.313868773,0,0.003152966,0.003159612,0.00207432,0.002077194,251.3809524,0,0,-0.185444715,#N/A,#N/A,1350.261905,0.001621745,5,2.189780493,0,0.001234328,0.001235345,0.000617164,0.000617418,-1.336981166,1.313868773,0.00439,0,0.00885,0,0.20307,0.00242,0.00638,0.0001,999,0.4779,999,0.3474,1.4041,0.3648,YES,YES,81.58095499
Locus_524_,6,6.142857143,0,0,0,1,0,0,0.162790698,0.183518916,3,0,0,#N/A,#N/A,#N/A,29.85714286,0,0,0,0,0,0,0,0,#N/A,0,0.00002,0,0,0,0.19788,#N/A,#N/A,492.2548,999,221.279,0.0001,0.4205,#N/A,#N/A,NO,NO,1.215548571
Locus_5245_,6,868.3571429,0.001513051,3,1.313868643,1,0.0011516,0.001152485,0.002495133,0.002499293,568.1904762,0,0,-1.233111763,#N/A,#N/A,2917.642857,0,0,0,4,0,0,0.00137097,0.001372224,#N/A,1.313868643,0.00396,0.00108,0.00194,0.00411,0.17276,0.0007,0.00334,0.0819,0.3008,0.3335,0.3155,0.1225,0.4665,0.291,YES,YES,150.01738
Locus_5256_,6,102.3333333,0.004279702,1,0.437956171,2,0.003257329,0.003264423,0.021172638,0.021477238,69.04761905,0.028965517,0.029539683,-0.933020529,#N/A,#N/A,386.6666667,0.001132645,1,0.437956067,1,0.00137931,0.00138058,0.004310345,0.004322779,0.850567552,0.437956171,0,0,0,0.00001,16.0483,#N/A,0.00651,999,54.0341,504.6014,999,0.1217,#N/A,2.1159,NO,YES,1642.276033
Locus_5265_,6,102.5,0.01281823,3,1.313868575,0,0.012357724,0.012460665,0.008130081,0.008174468,64.33333333,0,0,-0.185444715,#N/A,#N/A,362.5,0,0,0,0,0,0,0,0,#N/A,1.313868575,0,0,0.00428,0.00001,0.23358,#N/A,#N/A,0.0001,0.0001,0.7853,999,0.2483,#N/A,#N/A,NO,NO,23.94195
Locus_5319_,6,57.66666667,0,0,0,0,0,0,0,0,39,0,0,#N/A,#N/A,#N/A,179.3333333,0,0,0,0,0,0,0,0,#N/A,0,0.05881,0.00001,64.89371,0.00002,1.26802,#N/A,#N/A,0.5558,0.0001,0.03,999,0.3563,#N/A,#N/A,NO,NO,73.12248667
Locus_539_,6,173.4047619,0.007576889,3,1.313868633,1,0.005766854,0.00578914,0.008650281,0.008700553,118.4761905,0,0,-1.233111763,#N/A,#N/A,531.5952381,0.000823853,1,0.437956332,0,0.00100327,0.001003941,0.000627043,0.000627306,0.850567552,1.313868633,0.00507,0.00643,0.00001,0,0.2688,#N/A,0.00547,0.0001,0.2712,0.0001,999,0.1541,#N/A,0.0001,NO,YES,46.6112
Locus_5556_,6,119.3095238,0.007341513,2,0.87591242,1,0.005587707,0.005608626,0.011175414,0.01125951,87.28571429,0.011456628,0.011545033,-1.131972245,#N/A,#N/A,357.6904762,0.0024488,2,0.875912438,1,0.001863809,0.001866129,0.003727618,0.003736912,-1.131972245,0.87591242,0,0,0,0,0.75702,#N/A,#N/A,18.1995,23.8393,19.8793,19.4754,0.0929,#N/A,#N/A,NO,NO,90.31969571
Locus_5668_,6,94.92857143,0.009227068,2,0.875912384,1,0.007022824,0.007055911,0.014045648,0.014178834,66.52380952,0,0,-1.131972245,#N/A,#N/A,298.0714286,0.0014693,1,0.43795635,1,0.0011183,0.001119135,0.003914051,0.0039243,-0.933020529,0.875912384,0,0,0,0.002,0.14927,0.00421,0.00579,0.3724,999,999,1.0081,0.1618,0.1495,0.5895,YES,YES,14.16998786
Locus_597_,6,294.6666667,0.00445883,3,1.313868573,5,0.003393665,0.003401366,0.018665158,0.018901344,187.3809524,0.021346887,0.02165657,-1.233111763,#N/A,#N/A,1025.333333,0.000854271,2,0.875912532,9,0.000650195,0.000650477,0.009102731,0.009158422,-1.131972245,1.313868573,0.00271,0.00001,0.00542,0.00274,0.28396,0,0.0165,0.3154,0.0001,0.3149,0.6237,0.3331,999,0.3157,YES,YES,83.67354668
Locus_5998_,6,235.2857143,0.007445521,4,1.751824727,0,0.005666869,0.005688386,0.002833435,0.0028388,156.1428571,0,0,-1.295030853,#N/A,#N/A,769.7142857,0.002844927,5,2.189780954,1,0.002165306,0.002168437,0.002381836,0.002385626,-1.336981166,1.751824727,0,0,0.00553,0.00831,0.24725,#N/A,#N/A,3.9661,0.3244,0.3076,0.4101,0.2573,#N/A,#N/A,NO,NO,58.17439286
Locus_620_,6,232.4761905,0.003767751,2,0.875912399,3,0.002867677,0.002873174,0.014338386,0.014477218,155.2380952,0.006441718,0.006469541,-1.131972245,#N/A,#N/A,799.5238095,0,0,0,2,0,0,0.002501489,0.00250567,#N/A,0.875912399,0,0.00311,0,0.00311,0.24246,0.00644,0.00294,0.0001,0.0001,999,0.0001,0.1426,0.0001,0.9006,YES,YES,56.36617715
Locus_6382_,6,188.1666667,0.002327491,1,0.437956223,2,0.001771479,0.001773575,0.011514615,0.011603921,121.3333333,0.008241758,0.008287377,-0.933020529,#N/A,#N/A,636.8333333,0,0,0,0,0,0,0,0,#N/A,0.437956223,0.00001,0,0.00466,0,0.27807,#N/A,0.00465,0.0001,999,0.3303,999,0.1553,#N/A,0.3317,NO,YES,52.32350501
Locus_6486_,6,164.2619048,0.005332414,2,0.875912481,0,0.005681983,0.005703616,0.004058559,0.00406958,104.7619048,0,0,0.310634244,#N/A,#N/A,555.7380952,0.003152249,4,1.751824855,0,0.003478857,0.00348695,0.00209931,0.002102254,0.561681986,0.875912481,0.00001,0.00365,0.00001,0.00365,0.24507,0.00379,0.00353,0.0001,0.6719,0.0001,0.3354,0.2307,0.6674,0.3265,YES,YES,40.25566501
Locus_658_,6,621.5,0.001409352,2,0.875912268,3,0.001394476,0.001395774,0.005631537,0.005652786,444.0952381,0,0,-0.050017378,#N/A,#N/A,1934.5,0.00090557,4,1.751825165,2,0.000896011,0.000896547,0.001723098,0.001725081,-0.057222293,0.875912268,0.00001,0,0.00515,0.00645,0.17745,#N/A,#N/A,0.0001,999,0.2623,0.2791,0.2115,#N/A,#N/A,NO,NO,110.285175
Locus_6596_,6,110.7619048,0,0,0,3,0,0,0.027085125,0.027586297,82.85714286,0.012068966,0.012167127,#N/A,#N/A,#N/A,330.2380952,0,0,0,4,0,0,0.012112473,0.012211347,#N/A,0,0.00929,0.01087,0.01336,0.01205,0.33043,0.00601,0.03005,0.2045,0.0001,0.1411,0.4774,0.0767,0.0001,0.3191,YES,YES,36.5990562
Locus_6826_,6,555.4761905,0.003942169,5,2.189781018,2,0.003000429,0.003006446,0.0063009,0.006327517,365.2380952,0.00273794,0.00274295,-1.336981166,#N/A,#N/A,1811.52381,0.001208806,5,2.189780851,7,0.000920036,0.000920601,0.005060197,0.005077344,-1.336981166,2.189781018,0.00225,0.00408,0.00354,0.00536,0.17064,#N/A,0.0038,0.5356,0.3342,0.4619,0.4945,0.3327,#N/A,0.6771,NO,YES,94.78645715
Locus_6965_,6,308.3809524,0.005680717,4,1.751824919,2,0.005620754,0.005641921,0.011890056,0.011985313,189.1428571,0.010574018,0.010649266,-0.057222293,#N/A,#N/A,1113.619048,0.002359637,6,2.62773671,10,0.001975541,0.001978147,0.010027367,0.010095002,-0.931688343,1.751824919,0,0.00001,0,0.00276,0.29939,0.00285,0.00267,999,0.0001,999,0.2829,0.3416,0.5379,0.8895,YES,YES,92.32617334
Locus_7140_,6,650.1428571,0.005389046,8,3.503649763,0,0.005639786,0.005661098,0.003332601,0.003340027,399.1428571,0,0,0.274296296,#N/A,#N/A,2316.857143,0.001323212,7,3.065693174,0,0.001438731,0.001440112,0.001150985,0.001151869,0.508085973,3.503649763,0.00001,0.00444,0.00108,0.00556,0.24975,0.00331,0.00227,0.0001,0.2753,0.5661,0.0001,0.2983,0.2533,1.3841,YES,YES,162.3731786
Locus_7282_,6,258.6904762,0.003385948,2,0.875912501,3,0.002577082,0.00258152,0.012885412,0.012997385,152.7142857,0.013096352,0.013212043,-1.131972245,#N/A,#N/A,929.3095238,0.000471271,1,0.437956629,3,0.000573903,0.000574122,0.003945582,0.003955997,0.850567552,0.875912501,0.00354,0.00355,0.00383,0.00379,0.16365,#N/A,#N/A,0.5782,0.5777,0.528,0.2636,0.0879,#N/A,#N/A,NO,NO,42.33469643
Locus_7320_,6,607.7142857,0.001441323,2,0.875912577,3,0.001755211,0.001757268,0.006033537,0.006057937,420.3333333,0.002379064,0.002382846,1.031937488,#N/A,#N/A,1969.285714,0.000444787,2,0.875912685,4,0.000541652,0.000541847,0.002369726,0.002373477,1.031937488,0.875912577,0.00001,0.00001,0.00426,0.00855,0.20183,#N/A,#N/A,0.0001,0.0001,0.8153,0.4869,0.2797,#N/A,#N/A,NO,NO,122.6549743
Locus_7515_,6,135.7619048,0.012903655,4,1.751824782,2,0.013749562,0.013877157,0.024552788,0.024963674,72.80952381,0.027468934,0.027984592,0.35538056,#N/A,#N/A,503.2380952,0.006962211,8,3.503649802,3,0.005299016,0.005317824,0.008610901,0.008660714,-1.408327249,1.751824782,0.00001,0.00947,0.00001,0.00945,0.27484,0.00986,0.00917,0.0001,0.2834,0.0001,0.4255,0.2868,0.0908,0.781,YES,YES,37.31280192
Locus_7577_,6,188.9761905,0.004635041,2,0.875912391,4,0.003527781,0.003536104,0.022930578,0.023288432,157.2380952,0.019079346,0.019326223,-1.131972245,#N/A,#N/A,516.0238095,0.000848713,1,0.437956115,3,0.000645965,0.000646243,0.006136668,0.006161911,-0.933020529,0.875912391,0.0029,0,0.01856,0,0.43423,#N/A,#N/A,0.0001,500.7935,0.5567,999,0.0219,#N/A,#N/A,NO,NO,82.0591312
Locus_7588_,6,318.8333333,0.006868106,5,2.189781129,1,0.006481965,0.006510139,0.007841087,0.007882364,200.1904762,0.004995243,0.005011952,-0.314656963,#N/A,#N/A,1097.166667,0.00079834,2,0.875912037,6,0.000972201,0.000972832,0.00638007,0.006407362,1.031937488,2.189781129,0.00558,0.00279,0,0.00279,0.17209,0,0.00279,0.3425,0.3321,999,0.0001,0.1994,999,1.7319,YES,YES,54.86802833
Locus_7656_,6,320.6428571,0.002731738,2,0.875912277,6,0.00332665,0.00333405,0.021831143,0.022155179,184.047619,0,0,1.031937488,#N/A,#N/A,1086.357143,0.000806284,2,0.875912383,3,0.000981875,0.000982518,0.003375195,0.003382812,1.031937488,0.875912277,0,0.00463,0,0.00932,0.33431,0.00337,0.01297,999,0.0001,999,0.0001,0.0585,0.434,0.1128,YES,YES,107.1941136
Locus_7845_,6,306,0,0,0,1,0,0,0.003267974,0.003275114,199.3333333,0.005016722,0.005033576,#N/A,#N/A,#N/A,1026,0.000426858,1,0.437956308,0,0.000519818,0.000519998,0.000324886,0.000324957,0.850567552,0,0.00344,0,0.0069,0.00001,0.14038,#N/A,#N/A,0.0001,999,0.0001,0.0001,0.1582,#N/A,#N/A,NO,NO,42.95628
Locus_7863_,6,174.1666667,0.007543743,3,1.313868573,2,0.005741627,0.005763717,0.014354067,0.014493205,118.6190476,0.008430349,0.008478088,-1.233111763,#N/A,#N/A,575.8333333,0,0,0,0,0,0,0,0,#N/A,1.313868573,0.00001,0.00001,0.00001,0.00457,0.19444,#N/A,0.00457,0.0001,0.0001,0.0001,0.3058,0.1321,#N/A,0.0001,NO,YES,33.86496667
Locus_7892_,6,103.5,0.008462922,2,0.875912427,3,0.006441224,0.006469043,0.032206119,0.032918065,73.33333333,0.013636364,0.013761854,-1.131972245,#N/A,#N/A,352.5,0,0,0,0,0,0,0,0,#N/A,0.875912427,0,0,0.02264,0.01495,0.20177,#N/A,#N/A,0.4632,0.4126,0.0001,0.1592,0.0488,#N/A,#N/A,NO,NO,20.883195
Locus_7979_,6,307.8571429,0.007112978,5,2.189781085,6,0.005413766,0.0054334,0.022196442,0.022531525,193.5238095,0.025836614,0.026292126,-1.336981166,#N/A,#N/A,1081.142857,0.000405086,1,0.437955835,5,0.000308316,0.000308379,0.004778894,0.004794184,-0.933020529,2.189781085,0.00001,0.00001,0,0,0.16455,0,0.00514,0.0001,0.0001,999,37.2423,0.094,999,0.5421,YES,YES,50.65789286
Locus_798_,6,843.1190476,0.009350058,18,7.883211996,0,0.007907147,0.007949125,0.005139646,0.005157337,553.5238095,0,0,-0.959761824,#N/A,#N/A,2762.880952,0.000317029,2,0.875913385,0,0.000313682,0.000313748,0.000180971,0.000180992,-0.050017378,7.883211996,0.00317,0.0079,0.00428,0.00908,0.22379,0.00247,0.01095,0.0001,0.0467,0.2584,0.0812,0.0148,0.0001,0.3717,YES,YES,188.6816117
Locus_7980_,6,265.5238095,0.003298809,2,0.875912332,0,0.003263989,0.003271112,0.00188307,0.001885438,172.2380952,0,0,-0.050017378,#N/A,#N/A,886.4761905,0.001976167,4,1.751824994,0,0.001729695,0.001731693,0.000940052,0.000940641,-0.676126573,0.875912332,0.00333,0.00342,0.00677,0.01024,0.19741,0.00761,0.01244,0.2961,0.8762,0.5876,0.3899,0.1799,0.3923,0.2526,YES,YES,52.41705523
Locus_805_,6,651.3095238,0.004034544,6,2.627736931,6,0.003991958,0.004002619,0.012538841,0.012644839,440.2380952,0.004542996,0.004556811,-0.06041665,#N/A,#N/A,2096.690476,0.001462158,7,3.065692753,9,0.001208253,0.001209228,0.004928402,0.004944666,-1.01062919,2.627736931,0,0.00883,0.00001,0.00735,0.14999,0.0044,0.00295,0.4845,0.0993,0.0001,0.3585,0.2203,0.1913,1.206,YES,YES,97.68991547
Locus_8279_,6,52.73809524,0,0,0,1,0,0,0.018961625,0.019205439,41.19047619,0,0,#N/A,#N/A,#N/A,172.2619048,0,0,0,1,0,0,0.005805114,0.005827697,#N/A,0,0.00002,0,0.027,0.00001,0.00001,5.38531,0.11901,999,262.7363,0.0001,999,0.0001,0.256,0.1562,YES,YES,0.000527381
