locus,XNCS,XTXS,YNCS,YTXS,OUTS,XAS,YAS,XNCW,XTXW,YNCW,YTXW,OUTW,XAW,YAW,MX,MY
Locus_3811_,0,0,0,0.0066,0.29567,0.00805,0.00522,0.0001,0.0001,0.0001,0.0001,0.0469,0.0001,0.0001,YES,YES
Locus_3815_,0,0,0.00459,0.00914,0.21647,#N/A,#N/A,377.8199,999,0.5182,0.2613,0.4151,#N/A,#N/A,NO,NO
Locus_3833_,0.00001,0.00001,0.00329,0.00329,0.3496,#N/A,#N/A,0.0001,0.0001,0.8288,0.5511,0.3411,#N/A,#N/A,NO,NO
Locus_3841_,0.00773,0.00453,0.00892,0.00569,0.18226,0.0007,0.00372,0.192,0.1606,0.166,0.1924,0.1108,1.4684,0.823,YES,YES
Locus_3892_,0,0.00779,0.00388,0,0.11986,0,#N/A,10.0207,0.1484,0.0001,714.0604,0.4353,960.5159,#N/A,YES,NO
Locus_3896_,0.00001,0.01868,0,0.01874,0.24714,#N/A,0,0.0001,0.2492,35.4721,0.0001,0.1262,#N/A,999,NO,YES
Locus_3900_,0.01727,0.01148,0,0,0.30852,#N/A,#N/A,0.0001,0.1679,0.0001,999,0.3504,#N/A,#N/A,NO,NO
Locus_3927_,0.00167,0.00494,0.00165,0.00331,0.19845,0.00258,0.00907,0.9324,0.4234,0.9455,0.7938,0.1659,0.0001,0.1727,YES,YES
Locus_395_,0.00001,0.00443,0.02534,0.03363,2.12887,#N/A,#N/A,0.0001,0.0001,0.0617,0.0466,0.1213,#N/A,#N/A,NO,NO
Locus_3973_,0.00873,0,0.0117,0.00594,0.23164,0.01392,0.03723,0.0001,999,0.1672,0.8295,0.224,0.0001,0.2141,YES,YES
Locus_3992_,0.00173,0.00216,0.00368,0.0041,0.23543,0.0101,0.01156,0.0001,0.0001,0.0001,0.1554,0.0355,0.19,0.0001,YES,YES
Locus_4040_,0.00645,0.01948,0,0,0.41821,#N/A,#N/A,0.0001,0.0001,999,999,0.0783,#N/A,#N/A,NO,NO
Locus_4102_,0.00001,0.00001,0.00001,0.00001,0.17186,0.00474,#N/A,0.0001,0.0001,0.0001,0.0001,0.1402,0.0001,#N/A,YES,NO
Locus_4106_,0.00127,0.00127,0,0.00381,0.19629,0.00363,0.01301,0.0001,0.3457,999,0.461,0.0586,0.2401,0.1016,YES,YES
Locus_4117_,0,0,0.01544,0.01547,0.30334,#N/A,#N/A,2.0568,0.0001,0.1797,0.3609,0.1142,#N/A,#N/A,NO,NO
Locus_4122_,0.00001,0,0.00001,0.00214,0.20985,0,#N/A,0.0001,999,0.0001,0.1652,0.2219,999,#N/A,YES,NO
Locus_4129_,0,0,0,0,0.02117,#N/A,#N/A,10.9492,13.8441,19.2329,11.6664,999,#N/A,#N/A,NO,NO
Locus_4151_,0.00257,0.00431,0.00255,0.00433,0.16099,0,0.01035,0.7791,0.2333,0.7844,0.4646,0.194,999,0.3939,YES,YES
Locus_4154_,0,0,0,0,0.00035,#N/A,#N/A,1.0135,0.0001,1.0304,0.0001,999,#N/A,#N/A,NO,NO
Locus_4208_,0.00213,0.0085,0,0.00424,0.22128,0.0044,0.00625,0.6552,0.0821,999,0.3305,0.1896,0.0001,0.2242,YES,YES
Locus_4222_,0.00001,0.00001,0,0.00001,0.60241,0.00001,#N/A,0.0001,0.0001,999,0.0001,0.1112,0.0001,#N/A,YES,NO
Locus_4264_,0.02573,0.00001,0,0.02531,0.00002,#N/A,#N/A,0.0001,0.0001,999,0.1508,439.1445,#N/A,#N/A,NO,NO
Locus_4279_,0,0.00001,0.00568,0.00568,0.12632,#N/A,#N/A,1.3866,0.0001,0.5176,0.5175,0.3257,#N/A,#N/A,NO,NO
Locus_4284_,0,0.00973,0,0.00942,0.23194,#N/A,0.00939,0.3958,0.0001,0.4653,0.2942,0.4972,#N/A,0.5903,NO,YES
Locus_4326_,0,0.00474,0.00001,0.00713,0.27104,0,0.00953,999,0.0001,0.0001,0.212,0.4132,999,0.5649,YES,YES
Locus_434_,0.00001,0.00732,0,0,0.30978,0.00365,#N/A,0.0001,0.0001,11.9996,999,0.0964,0.0001,#N/A,YES,NO
Locus_4398_,0,0,0,0,0.54815,#N/A,#N/A,80.561,73.7366,93.4746,74.593,0.3672,#N/A,#N/A,NO,NO
Locus_4403_,0,0.00271,0.01097,0,0.3758,#N/A,#N/A,1.9014,0.0001,0.0001,2.6864,0.0295,#N/A,#N/A,NO,NO
Locus_4446_,0.00001,0.00001,0.00001,0.00001,0.5543,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.1836,#N/A,#N/A,NO,NO
Locus_4504_,0.00997,0,0.00499,0.00497,0.29391,0.0052,0.01506,0.0001,999,0.3213,0.6478,0.0218,0.0001,0.1067,YES,YES
Locus_4533_,0,0,0,0.00338,0.2861,#N/A,0.00337,0.1959,0.3426,9.8596,0.3265,0.1597,#N/A,0.3267,NO,YES
Locus_4539_,0,0.00207,0,0.00208,0.18919,0.00652,0.00182,999,0.6273,999,1.5714,0.3564,0.2674,1.5746,YES,YES
Locus_457_,0,0.00231,0,0.00698,0.4008,0.01398,0.00001,0.0001,0.0001,33.5963,0.1194,0.0515,0.0592,999,YES,YES
Locus_4616_,0.01527,0.00001,0.01479,0,1.14539,0.01516,#N/A,0.4523,0.0001,0.7001,0.348,0.434,0.0001,#N/A,YES,NO
Locus_465_,0.00531,0.0081,0.00529,0.00814,0.21719,0.00527,0.01503,0.0001,0.0001,0.0001,0.2435,0.055,0.0001,0.0001,YES,YES
Locus_468_,0.00281,0.00663,0.00197,0.00197,0.18342,#N/A,#N/A,0.0889,0.2655,0.8994,1.1558,0.1487,#N/A,#N/A,NO,NO
Locus_4704_,0,0,0.00672,0.01363,0.37726,#N/A,#N/A,140.1786,999,1.2512,0.6155,0.1654,#N/A,#N/A,NO,NO
Locus_4779_,0,0.02817,0,0.00002,54.9769,0,0.02905,0.0001,0.0001,999,999,0.0382,0.0001,1.8022,YES,YES
Locus_4830_,0,0.00001,0.00209,0.00209,0.16276,#N/A,#N/A,999,0.0001,1.2382,1.8699,0.2603,#N/A,#N/A,NO,NO
Locus_4844_,0,0.00243,0.00378,0.00377,0.15231,#N/A,#N/A,0.5812,0.176,0.7843,0.5625,0.3607,#N/A,#N/A,NO,NO
Locus_4857_,0,0.00629,0.00314,0.00314,0.55915,0,0.00632,999,0.1732,0.3472,0.6957,0.48,15.0127,0.1723,YES,YES
Locus_494_,0.00001,0.00001,0.0379,0.03771,65.06182,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.0219,#N/A,#N/A,NO,NO
Locus_4955_,0.26023,0,74.0326,0.01967,0.50487,#N/A,#N/A,0.3977,30.0068,0.0143,0.2832,0.2919,#N/A,#N/A,NO,NO
Locus_4963_,0.00001,0.00001,0.00306,0,0.08837,0.00646,0.02178,0.0001,0.0001,0.6362,999,0.1448,0.0001,0.0894,YES,YES
Locus_5006_,0.00001,0.00283,0,0.00001,0.11263,0.0028,0.00287,0.0001,0.0001,999,0.0001,0.7097,0.0001,0.6196,YES,YES
Locus_5026_,0.00001,0.00001,0.00282,0.0028,0.22528,#N/A,#N/A,0.0001,0.0001,1.5352,0.0001,0.2953,#N/A,#N/A,NO,NO
Locus_5033_,0,0.00517,0,0.01556,0.23662,0.01616,0.03758,0.3556,0.0001,0.3651,0.0001,0.1139,0.0001,0.0998,YES,YES
Locus_5046_,0.00001,0.00636,0.0027,0.00816,0.32585,#N/A,#N/A,0.0001,0.0001,0.9282,0.3062,0.0948,#N/A,#N/A,NO,NO
Locus_5059_,0.00001,0,0,0.00721,0.20738,#N/A,0.00481,0.0001,999,999,0.3112,0.1116,#N/A,0.1551,NO,YES
Locus_5151_,0.01506,0.00498,0.00501,0,0.2408,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.1826,#N/A,#N/A,NO,NO
Locus_5166_,0.00439,0,0.00885,0,0.20307,0.00242,0.00638,0.0001,999,0.4779,999,0.3474,1.4041,0.3648,YES,YES
Locus_524_,0.00002,0,0,0,0.19788,#N/A,#N/A,492.2548,999,221.279,0.0001,0.4205,#N/A,#N/A,NO,NO
Locus_5245_,0.00396,0.00108,0.00194,0.00411,0.17276,0.0007,0.00334,0.0819,0.3008,0.3335,0.3155,0.1225,0.4665,0.291,YES,YES
Locus_5253_,0.00953,0.00001,0.02625,0.00519,0.76243,#N/A,0.01031,0.1287,0.0001,0.1877,0.4724,0.3499,#N/A,0.5977,NO,YES
Locus_5256_,0,0,0,0.00001,16.0483,#N/A,0.00651,999,54.0341,504.6014,999,0.1217,#N/A,2.1159,NO,YES
Locus_5259_,0,0,0,0,2.72814,#N/A,#N/A,1.5256,1.7934,1.5502,1.1843,0.7865,#N/A,#N/A,NO,NO
Locus_5265_,0,0,0.00428,0.00001,0.23358,#N/A,#N/A,0.0001,0.0001,0.7853,999,0.2483,#N/A,#N/A,NO,NO
Locus_5277_,0,0,0.0142,0.01419,0.92722,#N/A,0,999,39.711,0.1258,0.2535,0.093,#N/A,999,NO,YES
Locus_5279_,0,0,0,0,0.15541,#N/A,#N/A,0.0001,999,0.0001,999,0.313,#N/A,#N/A,NO,NO
Locus_5303_,0,0,0.00664,0.00157,0.14636,#N/A,#N/A,0.3326,1.7946,0.08,0.168,0.1191,#N/A,#N/A,NO,NO
Locus_5319_,0.05881,0.00001,64.89371,0.00002,1.26802,#N/A,#N/A,0.5558,0.0001,0.03,999,0.3563,#N/A,#N/A,NO,NO
Locus_5357_,0,0.00759,0.00759,0.00758,0.15903,#N/A,#N/A,3.089,0.0001,0.0001,0.0001,0.4238,#N/A,#N/A,NO,NO
Locus_5359_,0,0.00452,0.00444,0.00438,0.51738,#N/A,#N/A,1.0104,0.0001,0.0001,0.3661,0.1402,#N/A,#N/A,NO,NO
Locus_5384_,0.00011,0.00001,0.05886,0.00001,0.19886,#N/A,#N/A,54.7462,0.0001,0.2161,0.0001,0.2328,#N/A,#N/A,NO,NO
Locus_539_,0.00507,0.00643,0.00001,0,0.2688,#N/A,0.00547,0.0001,0.2712,0.0001,999,0.1541,#N/A,0.0001,NO,YES
Locus_5409_,0.00214,0.00429,0,0,0.32014,#N/A,#N/A,0.0001,0.0001,999,999,0.2782,#N/A,#N/A,NO,NO
Locus_5422_,0.01078,0.00001,0.01085,0.01109,0.1841,0.00001,0.01085,0.0001,0.0001,0.0001,0.4965,0.0606,0.0001,0.0001,YES,YES
Locus_5471_,0.00001,0.00001,0.00001,0.00562,0.33886,#N/A,#N/A,0.0001,0.0001,999,0.6709,0.4104,#N/A,#N/A,NO,NO
Locus_5474_,0.00001,0,0,0,0.3549,#N/A,#N/A,999,999,28.7075,999,0.3169,#N/A,#N/A,NO,NO
Locus_5487_,0,0,0.00001,0.0084,0.31308,#N/A,0.00419,999,999,999,0.3356,0.1057,#N/A,0.6741,NO,YES
Locus_5503_,0.00001,0.01237,0.00001,0.02474,0.59262,0.01226,#N/A,0.0001,0.2289,0.0001,0.1145,0.33,0.2309,#N/A,YES,NO
Locus_5550_,0.00001,0,0.00001,0.00001,0.16048,#N/A,#N/A,0.0001,5.3433,0.0001,0.0001,0.2388,#N/A,#N/A,NO,NO
Locus_5556_,0,0,0,0,0.75702,#N/A,#N/A,18.1995,23.8393,19.8793,19.4754,0.0929,#N/A,#N/A,NO,NO
Locus_5668_,0,0,0,0.002,0.14927,0.00421,0.00579,0.3724,999,999,1.0081,0.1618,0.1495,0.5895,YES,YES
Locus_5685_,0,0,0,0,0.25751,#N/A,#N/A,2.3953,2.7656,3.3232,3.5812,0.1896,#N/A,#N/A,NO,NO
Locus_569_,0.00001,0.01593,0,0.01869,0.16754,#N/A,0.0106,0.0001,0.1076,999,0.1828,0.2178,#N/A,0.4851,NO,YES
Locus_5746_,0,0,0.01857,0,0,#N/A,#N/A,0.0001,0.0001,0.7832,2.2184,0.0001,#N/A,#N/A,NO,NO
Locus_5748_,0,0,0.00992,0.00997,0.16491,#N/A,#N/A,999,999,0.1675,0.8086,0.3155,#N/A,#N/A,NO,NO
Locus_5769_,0.00001,0.00001,0.0037,0.00369,0.18487,#N/A,#N/A,0.0001,0.0001,0.592,1.3401,0.1836,#N/A,#N/A,NO,NO
Locus_5844_,0.00001,0,0.00005,0.01766,0.68673,#N/A,#N/A,0.0001,999,62.9892,0.5843,0.0309,#N/A,#N/A,NO,NO
Locus_5857_,0,0,0.00827,0.00552,0.3513,#N/A,#N/A,0.4621,0.5695,0.5634,0.4211,0.2487,#N/A,#N/A,NO,NO
Locus_589_,0.00614,0.00195,0.01027,0.00403,0.13535,0.00763,0.01913,0.0001,0.9478,0.3,0.3051,0.1828,0.2394,0.2609,YES,YES
Locus_591_,0.00004,0.00004,0.00004,0.00004,0.00112,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,999,#N/A,#N/A,NO,NO
Locus_5913_,0.00001,0,0.01519,0.04567,0.45379,#N/A,#N/A,0.0001,999,0.0001,0.516,0.1864,#N/A,#N/A,NO,NO
Locus_5916_,0.00001,0,0.00356,0.00712,0.25583,#N/A,#N/A,0.0001,0.1547,0.643,0.6465,0.2641,#N/A,#N/A,NO,NO
Locus_597_,0.00271,0.00001,0.00542,0.00274,0.28396,0,0.0165,0.3154,0.0001,0.3149,0.6237,0.3331,999,0.3157,YES,YES
Locus_5998_,0,0,0.00553,0.00831,0.24725,#N/A,#N/A,3.9661,0.3244,0.3076,0.4101,0.2573,#N/A,#N/A,NO,NO
Locus_6110_,0.00661,0.00971,0,0.01651,0.15028,0.0392,0.02218,0.2058,0.0988,999,0.0713,0.2703,0.1194,0.4853,YES,YES
Locus_620_,0,0.00311,0,0.00311,0.24246,0.00644,0.00294,0.0001,0.0001,999,0.0001,0.1426,0.0001,0.9006,YES,YES
Locus_6200_,0,0.00281,0.00001,0.00845,0.35427,#N/A,0.00281,0.3313,0.0001,0.0001,0.2168,0.2649,#N/A,1.3034,NO,YES
Locus_6278_,0.00001,0.00573,0.00074,0.0108,0.35069,0.0174,0.01875,0.0001,0.0001,0.6957,0.0981,0.072,0.0285,0.2264,YES,YES
Locus_6307_,0.00001,0,0.00001,0,0.15178,#N/A,0.01755,999,26.0632,999,87.6892,0.0001,#N/A,0.3005,NO,YES
Locus_631_,0,0.00857,0,0.01731,0.23548,#N/A,0.01729,0.0001,0.3617,5.1071,0.7301,0.3596,#N/A,0.3621,NO,YES
Locus_6373_,0,0.01161,0,0.01157,0.32001,#N/A,#N/A,41.6682,0.0001,999,0.6184,0.1191,#N/A,#N/A,NO,NO
Locus_6382_,0.00001,0,0.00466,0,0.27807,#N/A,0.00465,0.0001,999,0.3303,999,0.1553,#N/A,0.3317,NO,YES
Locus_6426_,0.00001,0.00001,0,0,0.52576,#N/A,#N/A,0.0001,0.0001,999,999,0.4037,#N/A,#N/A,NO,NO
Locus_6486_,0.00001,0.00365,0.00001,0.00365,0.24507,0.00379,0.00353,0.0001,0.6719,0.0001,0.3354,0.2307,0.6674,0.3265,YES,YES
Locus_6565_,0.00001,0,0.02217,0.0258,0.27286,#N/A,#N/A,0.0001,2.486,0.455,0.3158,0.3666,#N/A,#N/A,NO,NO
Locus_658_,0.00001,0,0.00515,0.00645,0.17745,#N/A,#N/A,0.0001,999,0.2623,0.2791,0.2115,#N/A,#N/A,NO,NO
Locus_6596_,0.00929,0.01087,0.01336,0.01205,0.33043,0.00601,0.03005,0.2045,0.0001,0.1411,0.4774,0.0767,0.0001,0.3191,YES,YES
Locus_6720_,0.00302,0.00234,0.00001,0.00463,0.17774,0.00961,0.00654,0.8032,0.5553,415.0765,0.4234,0.3693,0.2932,0.2773,YES,YES
Locus_6748_,0.00415,0.00504,0.00409,0.01482,0.35755,0.02767,0.00762,0.153,0.2787,0.943,0.223,0.2833,0.2118,0.9221,YES,YES
Locus_6759_,0.00001,0.00001,0,0.00429,0.28772,#N/A,#N/A,0.0001,0.0001,999,0.9628,0.3167,#N/A,#N/A,NO,NO
Locus_6802_,0.00001,0.00001,0.00412,0,0.27604,#N/A,0.00413,0.0001,0.0001,0.3113,999,0.2504,#N/A,1.2473,NO,YES
Locus_6826_,0.00225,0.00408,0.00354,0.00536,0.17064,#N/A,0.0038,0.5356,0.3342,0.4619,0.4945,0.3327,#N/A,0.6771,NO,YES
Locus_6954_,0.01683,0.01074,0.00527,0.02823,0.66136,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.0789,#N/A,#N/A,NO,NO
Locus_6965_,0,0.00001,0,0.00276,0.29939,0.00285,0.00267,999,0.0001,999,0.2829,0.3416,0.5379,0.8895,YES,YES
Locus_6987_,0.01381,0,0.00274,0.00001,0.26764,#N/A,0.00275,0.0001,999,0.0001,0.0001,0.264,#N/A,0.3365,NO,YES
Locus_6998_,0.00001,0.00001,0.00001,0.00401,0.24448,#N/A,0.00401,0.0001,0.0001,0.0001,0.3352,0.1359,#N/A,1.0051,NO,YES
Locus_7000_,0,0,0.02141,0.0106,0.14953,#N/A,#N/A,0.0001,999,0.0866,0.1739,0.127,#N/A,#N/A,NO,NO
Locus_7030_,0.00001,0,0.0168,0,0.9048,#N/A,#N/A,0.0001,42.4709,0.0001,999,0.3983,#N/A,#N/A,NO,NO
Locus_7095_,0.00001,0.00001,0.0053,0,0.28053,#N/A,#N/A,0.0001,0.0001,0.0001,999,0.2634,#N/A,#N/A,NO,NO
Locus_7140_,0.00001,0.00444,0.00108,0.00556,0.24975,0.00331,0.00227,0.0001,0.2753,0.5661,0.0001,0.2983,0.2533,1.3841,YES,YES
Locus_7168_,0.00141,0.00001,0,0.00141,0.1532,#N/A,0.00141,0.0001,0.0001,999,0.6577,0.1695,#N/A,3.2981,NO,YES
Locus_7250_,0.00001,0.00001,0.00001,0.00001,0.40637,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.2228,#N/A,#N/A,NO,NO
Locus_7276_,0,0.00001,0,0,0.20748,#N/A,#N/A,999,999,579.2001,999,0.0607,#N/A,#N/A,NO,NO
Locus_7282_,0.00354,0.00355,0.00383,0.00379,0.16365,#N/A,#N/A,0.5782,0.5777,0.528,0.2636,0.0879,#N/A,#N/A,NO,NO
Locus_7320_,0.00001,0.00001,0.00426,0.00855,0.20183,#N/A,#N/A,0.0001,0.0001,0.8153,0.4869,0.2797,#N/A,#N/A,NO,NO
Locus_7341_,0,0.00633,0.00315,0,0.24362,#N/A,#N/A,999,0.3102,0.3116,999,0.3522,#N/A,#N/A,NO,NO
Locus_7509_,0,0,0,0,0.07759,#N/A,#N/A,757.2463,60.1492,258.1781,19.9628,1.0404,#N/A,#N/A,NO,NO
Locus_7515_,0.00001,0.00947,0.00001,0.00945,0.27484,0.00986,0.00917,0.0001,0.2834,0.0001,0.4255,0.2868,0.0908,0.781,YES,YES
Locus_7546_,0.00738,0.00001,0,0.00369,0.32533,#N/A,#N/A,0.0001,0.0001,999,1.7738,0.0684,#N/A,#N/A,NO,NO
Locus_7577_,0.0029,0,0.01856,0,0.43423,#N/A,#N/A,0.0001,500.7935,0.5567,999,0.0219,#N/A,#N/A,NO,NO
Locus_7588_,0.00558,0.00279,0,0.00279,0.17209,0,0.00279,0.3425,0.3321,999,0.0001,0.1994,999,1.7319,YES,YES
Locus_7605_,0,0,0,0,0.3139,0.00686,#N/A,0.3675,0.341,2.7503,0.2637,0.0393,0.0001,#N/A,YES,NO
Locus_7656_,0,0.00463,0,0.00932,0.33431,0.00337,0.01297,999,0.0001,999,0.0001,0.0585,0.434,0.1128,YES,YES
Locus_7845_,0.00344,0,0.0069,0.00001,0.14038,#N/A,#N/A,0.0001,999,0.0001,0.0001,0.1582,#N/A,#N/A,NO,NO
Locus_7863_,0.00001,0.00001,0.00001,0.00457,0.19444,#N/A,0.00457,0.0001,0.0001,0.0001,0.3058,0.1321,#N/A,0.0001,NO,YES
Locus_7892_,0,0,0.02264,0.01495,0.20177,#N/A,#N/A,0.4632,0.4126,0.0001,0.1592,0.0488,#N/A,#N/A,NO,NO
Locus_7947_,0.00295,0.0059,0.00295,0.00001,0.41661,#N/A,#N/A,0.6036,0.3023,0.0001,0.0001,0.6124,#N/A,#N/A,NO,NO
Locus_7979_,0.00001,0.00001,0,0,0.16455,0,0.00514,0.0001,0.0001,999,37.2423,0.094,999,0.5421,YES,YES
Locus_798_,0.00317,0.0079,0.00428,0.00908,0.22379,0.00247,0.01095,0.0001,0.0467,0.2584,0.0812,0.0148,0.0001,0.3717,YES,YES
Locus_7980_,0.00333,0.00342,0.00677,0.01024,0.19741,0.00761,0.01244,0.2961,0.8762,0.5876,0.3899,0.1799,0.3923,0.2526,YES,YES
Locus_7982_,0,0,0.01506,0.00497,0.17728,#N/A,#N/A,1.5159,0.3372,0.5792,0.6954,0.3346,#N/A,#N/A,NO,NO
Locus_7990_,0.00707,0.00712,0,0,0.1914,#N/A,#N/A,0.0001,0.0001,46.2226,999,0.1521,#N/A,#N/A,NO,NO
Locus_8039_,0.00001,0.00522,0,0,0.21596,0.02182,0.00471,0.0001,0.0001,999,999,0.1915,0.0788,1.3503,YES,YES
Locus_805_,0,0.00883,0.00001,0.00735,0.14999,0.0044,0.00295,0.4845,0.0993,0.0001,0.3585,0.2203,0.1913,1.206,YES,YES
Locus_8112_,0.0341,0.04265,0.00001,0.00001,0.19145,#N/A,#N/A,0.0001,0.0001,0.0001,0.0001,0.2733,#N/A,#N/A,NO,NO
Locus_8123_,0,0,0,0.00001,0.1869,0,0.0115,999,26.2636,999,0.0001,0.18,999,0.1427,YES,YES
Locus_815_,0.00001,0.00964,0.00001,0.00804,0.15841,#N/A,0.00801,138.7867,0.2191,127.1815,0.6583,0.2956,#N/A,0.4591,NO,YES
Locus_8178_,0.00001,0.00001,0.01588,0.01593,0.29549,#N/A,#N/A,0.0001,0.0001,0.5822,0.4294,0.4125,#N/A,#N/A,NO,NO
Locus_825_,0.00641,0.00453,0.01211,0.01013,0.22638,0,0.00546,0.2214,0.3308,0.2091,0.6139,0.2384,999,0.8271,YES,YES
Locus_8279_,0.00002,0,0.027,0.00001,0.00001,5.38531,0.11901,999,262.7363,0.0001,999,0.0001,0.256,0.1562,YES,YES
Locus_8282_,0.01277,0,0.02053,0.00247,0.44484,0.01083,0.02796,0.1864,7.8259,0.1942,0.6462,0.1609,0.0657,0.2033,YES,YES
Locus_8318_,0,0.00001,0.02153,0.02168,0.24326,#N/A,#N/A,999,0.0001,0.274,0.3629,0.1181,#N/A,#N/A,NO,NO
Locus_8332_,0,0,0,0.0028,0.20513,0.00444,0.00946,999,999,999,1.9031,0.3834,0.3006,0.2751,YES,YES
Locus_839_,0,0.00636,0.00559,0.00838,0.30408,#N/A,0.00554,0.0001,0.1623,0.1826,0.6095,0.1571,#N/A,0.5523,NO,YES
Locus_8415_,0,0.00001,0.00001,0.00001,0.20326,0.00001,#N/A,0.2496,0.0001,0.0001,0.0001,0.6288,0.0001,#N/A,YES,NO
Locus_8416_,0.00328,0,0.00157,0,0.16486,#N/A,0.00157,0.1532,999,0.3201,999,0.1363,#N/A,1.4455,NO,YES
Locus_848_,0.00263,0,0.01903,0.00538,0.35155,#N/A,#N/A,0.0001,72.7422,0.1802,0.3187,0.1857,#N/A,#N/A,NO,NO
Locus_849_,0.00557,0.00343,0.00858,0.00343,0.653,0.00301,0,0.6162,0.0001,0.4007,0.7454,0.4636,1.2276,999,YES,YES
Locus_8503_,0,0.00001,0,0,0.70487,#N/A,#N/A,2.2135,0.0001,999,999,0.49,#N/A,#N/A,NO,NO
Locus_851_,0.00001,0.00186,0,0.00186,0.27008,#N/A,0.0056,0.0001,0.0001,999,0.6535,0.1889,#N/A,0.5441,NO,YES
Locus_8531_,0,0.00547,0.0054,0.00826,0.25342,0.00279,0.00001,999,0.0001,0.4042,0.3591,0.2827,0.9023,999,YES,YES
Locus_8629_,0.00589,0,0.00294,0.00295,0.17656,#N/A,#N/A,0.0001,0.5622,0.3583,0.7127,0.0914,#N/A,#N/A,NO,NO
Locus_8662_,0,0.00341,0,0.00684,0.28212,#N/A,0,0.0001,0.7149,0.0001,0.0001,0.5457,#N/A,999,NO,YES
Locus_8682_,0.00001,0.00134,0.00308,0.00309,0.22329,#N/A,0.00309,0.0001,1.9421,0.0001,1.1607,0.2532,#N/A,0.5793,NO,YES
Locus_8692_,0.00001,0.01482,0.00001,0.01488,0.35527,0.00828,0.00648,0.0001,0.1493,0.0001,0.0001,0.1272,0.2702,0.3373,YES,YES
Locus_8863_,0.00001,0.0062,0.00632,0.00616,0.17104,0.00278,0.00662,0.0001,0.0001,0.0001,0.3026,0.145,0.0001,0.1406,YES,YES
Locus_8933_,0.01105,0.00001,0.00581,0.00556,0.46154,#N/A,#N/A,0.1797,0.0001,1.8071,3.243,0.4378,#N/A,#N/A,NO,NO
Locus_8944_,0,0,0,0.01061,3.14653,#N/A,#N/A,875.517,999,999,0.1317,0.3971,#N/A,#N/A,NO,NO
Locus_9159_,0,0,0.00484,0,0.16152,#N/A,0,0.0001,0.0001,0.0001,999,0.1556,#N/A,999,NO,YES
Locus_9205_,0,0,0.00214,0.00214,0.24217,#N/A,0,999,999,0.6966,2.1009,0.291,#N/A,999,NO,YES
Locus_9219_,0.01617,0.00987,0.00958,0.00659,0.20775,0.0091,0.01365,0.0523,0.2575,0.0001,0.5122,0.087,0.0001,0.1237,YES,YES
Locus_9285_,0.00293,0.00595,0.00185,0.01148,0.15985,0.03322,0.04865,0.2303,0.276,1.1179,0.3468,0.1211,0.1402,0.135,YES,YES
Locus_9332_,0.00001,0,0.01408,0.01385,0.56507,#N/A,#N/A,0.0001,4.7502,0.3005,0.0001,0.0634,#N/A,#N/A,NO,NO
Locus_9359_,0,0.00001,0.01364,0.00001,0.5268,#N/A,0.05615,999,0.0001,0.0001,0.0001,0.3136,#N/A,0.0001,NO,YES
Locus_9363_,0.03009,0.00001,0.04074,0,0.25047,0.01593,0.00397,0.0507,0.0001,0.1501,999,0.2544,0.2917,0.7561,YES,YES
Locus_9404_,0.00357,0,0.00358,0.0036,0.12284,0,0.00721,0.0001,0.0001,0.0001,0.7343,0.3741,999,0.1826,YES,YES
Locus_9452_,0.00705,0,0,0.01408,15.84352,0.00702,#N/A,0.2411,738.443,211.5314,0.0001,0.0999,0.0001,#N/A,YES,NO
Locus_9480_,0,0,0,0.00669,0.20472,#N/A,#N/A,0.0001,0.0001,0.1438,0.0001,0.1261,#N/A,#N/A,NO,NO
Locus_9508_,0.00001,0.00001,0,0.00775,0.64576,#N/A,0.01554,0.0001,0.0001,5.3305,0.0001,0.2859,#N/A,0.0001,NO,YES
Locus_9553_,0.00001,0.00001,0,0.00837,0.46193,0,0.01689,0.0001,0.0001,999,0.5222,0.4476,999,1.1731,YES,YES
Locus_9598_,0,0.00777,0.0026,0.01567,0.24453,0.01014,0.00551,999,0.7063,0.0001,0.3502,0.1851,0.0001,0.3332,YES,YES
Locus_9702_,0,0.00001,0.00344,0.00001,0.27778,#N/A,#N/A,6.1255,0.0001,0.0001,0.0001,0.1698,#N/A,#N/A,NO,NO
